scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
Q0_0p65,0.65,1.0,1.0,1e+24,131072,logarithmic,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.156171601492487e+23
quality_scale_0p5,0.5,0.5,1.0,1e+19,2048,exponential,conditional_v8_fixed_policy_feasible,79,79,172,0.14418511040647963,10.000000000000002,0.5533833251925064,3.046617565284107,1e+19
quality_scale_0p5,0.5,0.5,1.0,1e+19,2048,power,conditional_v8_fixed_policy_feasible,79,54,172,0.13161608029078442,10.0,0.5533833251925064,3.0690779057237014,1.0000000000000002e+19
quality_scale_0p5,0.5,0.5,1.0,1e+19,2048,logarithmic,conditional_v8_fixed_policy_feasible,79,78,172,0.12942014367051366,10.0,0.5533833251925064,3.0732898253364134,1e+19
quality_scale_0p5,0.5,0.5,1.0,1e+19,8192,exponential,conditional_v8_fixed_policy_feasible,79,79,172,0.12098985175709204,10.000000000000002,0.5533833251925064,3.090370279714014,1e+19
quality_scale_0p5,0.5,0.5,1.0,1e+19,8192,power,conditional_v8_fixed_policy_feasible,79,50,172,0.11044281894530424,10.0,0.5533833251925064,3.1140676774336447,1.0000000000000002e+19
quality_scale_0p5,0.5,0.5,1.0,1e+19,8192,logarithmic,conditional_v8_fixed_policy_feasible,79,57,172,0.10860014569419306,10.000000000000002,0.5533833251925064,3.1185120159873914,1e+19
quality_scale_0p5,0.5,0.5,1.0,1e+19,131072,exponential,infeasible_within_v8_support,79,0,,,,,,
quality_scale_0p5,0.5,0.5,1.0,1e+19,131072,power,infeasible_within_v8_support,79,0,,,,,,
quality_scale_0p5,0.5,0.5,1.0,1e+19,131072,logarithmic,infeasible_within_v8_support,79,0,,,,,,
quality_scale_0p5,0.5,0.5,1.0,1e+22,2048,exponential,conditional_v8_fixed_policy_feasible,79,79,172,8.134033593101256,191.52783209979444,0.5533833251925064,2.1060181741099506,1e+22
quality_scale_0p5,0.5,0.5,1.0,1e+22,2048,power,conditional_v8_fixed_policy_feasible,79,79,172,8.152927268770597,190.79091847144528,0.5533833251925064,2.106142670561409,1e+22
quality_scale_0p5,0.5,0.5,1.0,1e+22,2048,logarithmic,conditional_v8_fixed_policy_feasible,79,79,172,8.156220843586466,190.66292477803424,0.5533833251925064,2.1061643848943117,1e+22
